,list_price,description.year_built,description.baths_full,description.baths_3qtr,description.baths_half,description.baths_1qtr,description.lot_sqft,description.sqft,description.garage,description.beds
169,279000,1961.0,3.0,,,,20560.0,2928.0,1.0,3.0
170,429000,1977.0,2.0,,1.0,,22216.0,2042.0,,3.0
172,279900,2006.0,3.0,,,,3746.0,1248.0,,4.0
173,324900,,2.0,,1.0,,2394.0,2394.0,2.0,3.0
177,375000,1984.0,2.0,,,,16988.0,1931.0,2.0,3.0
179,481155,2021.0,3.0,,,,6490.0,2803.0,2.0,4.0
180,165000,1954.0,2.0,,1.0,,7449.0,598.0,,2.0
181,400000,1973.0,3.0,,,,38768.0,3056.0,2.0,3.0
182,306900,,2.0,,,,2025.0,2025.0,2.0,3.0
183,347900,,3.0,,,,2223.0,2223.0,2.0,3.0
184,315000,1964.0,3.0,,,,15682.0,1768.0,2.0,4.0
186,275000,1972.0,2.0,,,,18731.0,1604.0,,3.0
187,320000,1930.0,2.0,,,,4574.0,1032.0,,3.0
188,343900,,2.0,,1.0,,2622.0,2622.0,2.0,4.0
189,332900,,2.0,,,,1660.0,1660.0,2.0,2.0
190,415000,1994.0,2.0,,,,12066.0,2085.0,2.0,3.0
191,499900,2020.0,3.0,,1.0,,7754.0,2354.0,,4.0
193,469180,,2.0,,,,,1519.0,2.0,2.0
194,362205,2020.0,2.0,,,,4792.0,1470.0,2.0,2.0
197,313000,2013.0,2.0,,1.0,,8276.0,2446.0,2.0,4.0
198,313900,,2.0,,1.0,,2051.0,2051.0,2.0,2.0
199,475000,1960.0,2.0,,1.0,,26572.0,2725.0,,4.0
200,317500,1989.0,2.0,,1.0,,10193.0,2109.0,,4.0
201,450000,2018.0,3.0,,,,6098.0,2561.0,2.0,4.0
202,255000,1981.0,2.0,,,,31668.0,1434.0,3.0,3.0
204,470000,1947.0,2.0,,,,7492.0,1647.0,,3.0
205,270000,1948.0,1.0,,,,7449.0,787.0,,2.0
208,265000,1989.0,2.0,,1.0,,15246.0,2650.0,2.0,3.0
209,245000,1973.0,2.0,,1.0,,9583.0,1652.0,,4.0
210,225000,1964.0,2.0,,1.0,,8712.0,1566.0,,4.0
211,319900,2014.0,2.0,,,,5140.0,1364.0,2.0,2.0
213,524999,2002.0,2.0,,1.0,,46609.0,2828.0,2.0,3.0
214,414900,2018.0,3.0,,1.0,,5793.0,2800.0,2.0,5.0
215,249800,1948.0,1.0,,,,9278.0,1137.0,,3.0
217,1975000,1956.0,4.0,,1.0,,43647.0,6831.0,3.0,4.0
218,289500,1976.0,2.0,,,,16988.0,1296.0,,3.0
219,225000,1976.0,2.0,,,,23522.0,1810.0,,3.0
220,200000,1910.0,1.0,,,,5009.0,1564.0,,3.0
221,275000,1966.0,2.0,,,,14244.0,1681.0,,3.0
222,293900,,2.0,,,,1633.0,1633.0,2.0,3.0
223,353900,,3.0,,,,2307.0,2307.0,2.0,3.0
224,300000,2011.0,2.0,,1.0,,9148.0,1930.0,2.0,3.0
225,229900,1955.0,2.0,,,,21344.0,1399.0,,3.0
226,285000,1967.0,3.0,,,,42863.0,1865.0,1.0,4.0
227,1219075,2017.0,4.0,,1.0,,53579.0,4433.0,2.0,4.0
228,303990,,3.0,,1.0,,2293.0,2293.0,2.0,4.0
229,272990,,3.0,,1.0,,1869.0,1869.0,1.0,3.0
230,825000,1965.0,2.0,,1.0,,28270.0,4063.0,2.0,4.0
231,500000,1970.0,3.0,,1.0,,27878.0,2491.0,2.0,4.0
232,795000,1920.0,2.0,,,,7449.0,2418.0,,5.0
233,750000,2020.0,4.0,,,,4792.0,3481.0,2.0,5.0
